case_id	case_tree	num_mutations
SA429_window1	(Sample2:4.00000,Sample3:0.00000,Sample1:96.00000);	66
SA429_window2	(Sample2:2.00000,Sample3:29.00000,Sample1:2.00000);	88
SA429_window3	(Sample2:3.00000,Sample3:12.00000,Sample1:28.00000);	117
SA429_window4	(Sample2:3.00000,Sample3:9.00000,Sample1:12.00000);	133
SA493_window1	(Sample2:5.00000,Sample3:25.00000,Sample1:93.00000);	82
SA494_window1	(Sample2:17.00000,Sample3:13.00000,Sample1:50.00000);	53
SA494_window2	(Sample2:0.00000,Sample3:0.00000,Sample1:30.00000);	73
SA494_window3	(Sample2:0.00000,Sample3:5.00000,Sample1:0.00000);	76
SA495_window1	(Sample2:12.00000,Sample3:15.00000,Sample1:92.00000);	79
SA495_window2	(Sample2:1.00000,Sample3:25.00000,Sample1:26.00000);	114
SA495_window3	(Sample2:3.00000,Sample3:5.00000,Sample1:23.00000);	134
SA496_window1	(Sample2:0.00000,Sample3:7.00000,Sample1:56.00000);	42
SA496_window2	(Sample2:0.00000,Sample3:1.00000,Sample1:7.00000);	47
SA496_window3	(Sample2:1.00000,Sample3:1.00000,Sample1:0.00000);	48
SA499_window1	(Sample2:2.00000,Sample3:15.00000,Sample1:37.00000);	36
SA499_window2	(Sample2:0.00000,Sample3:12.00000,Sample1:17.00000);	55
SA499_window3	(Sample2:11.00000,Sample3:4.00000,Sample1:1.00000);	66
SA499_window4	(Sample2:15.00000,Sample3:4.00000,Sample1:0.00000);	78
SA499_window5	(Sample2:2.00000,Sample3:2.00000,Sample1:17.00000);	92
SA500_window1	(Sample2:14.00000,Sample3:13.00000,Sample1:82.00000);	72
SA500_window2	(Sample2:3.00000,Sample3:2.00000,Sample1:24.00000);	92
SA500_window3	(Sample2:3.00000,Sample3:0.00000,Sample1:2.00000);	95
SA500_window4	(Sample2:1.00000,Sample3:2.00000,Sample1:2.00000);	98
SA500_window5	(Sample2:1.00000,Sample3:1.00000,Sample1:2.00000);	101
SA501_window1	(Sample2:1.00000,Sample3:30.00000,Sample1:110.00000);	94
SA501_window2	(Sample2:1.00000,Sample3:13.00000,Sample1:30.00000);	123
SA501_window3	(Sample2:4.00000,Sample3:7.00000,Sample1:10.00000);	137
SA501_window4	(Sample2:2.00000,Sample3:21.00000,Sample1:9.00000);	158
SA501_window5	(Sample2:1.00000,Sample3:6.00000,Sample1:22.00000);	178
SA530_window1	(Sample2:8.00000,Sample3:12.00000,Sample1:125.00000);	96
SA530_window2	(Sample2:2.00000,Sample3:5.00000,Sample1:18.00000);	113
SA531_window1	(Sample2:1.00000,Sample3:11.00000,Sample1:147.00000);	106
SA532_window1	(Sample2:1.00000,Sample3:1.00000,Sample1:126.00000);	85
SA532_window2	(Sample2:1.00000,Sample3:11.00000,Sample1:1.00000);	94
SA532_window3	(Sample2:3.00000,Sample3:3.00000,Sample1:9.00000);	104
SA532_window4	(Sample2:2.00000,Sample3:1.00000,Sample1:4.00000);	108
SA533_window1	(Sample2:8.00000,Sample3:18.00000,Sample1:118.00000);	96
SA534_window1	(Sample2:3.00000,Sample3:44.00000,Sample1:93.00000);	93
SA534_window2	(Sample2:11.00000,Sample3:8.00000,Sample1:36.00000);	130
SA535_window1	(Sample2:6.00000,Sample3:25.00000,Sample1:101.00000);	88
SA535_window2	(Sample2:9.00000,Sample3:1.00000,Sample1:22.00000);	109
SA536_window1	(Sample2:8.00000,Sample3:12.00000,Sample1:94.00000);	76
SA536_window2	(Sample2:8.00000,Sample3:2.00000,Sample1:12.00000);	90
