case_id	case_tree	num_mutations
window1:107_94_60_17	(Sample2:0.00000,(Sample3:7.00000,Sample4:14.00000):14.00000,Sample1:0.00000);	29
window1:107_96_53_87	(Sample2:1.00000,(Sample3:6.00000,Sample4:16.00000):16.00000,Sample1:0.00000);	33
window1:107_93_44_75	(Sample2:0.00000,(Sample3:9.00000,Sample4:12.00000):13.00000,Sample1:0.00000);	28
window1:107_93_33_74	(Sample2:0.00000,(Sample3:4.00000,Sample4:12.00000):29.00000,Sample1:0.00000);	41
window1:107_95_20_66	(Sample2:3.50000,(Sample3:12.50000,Sample4:10.50000):7.50000,Sample1:1.50000);	28
window1:107_97_36_7	(Sample2:0.50000,(Sample3:10.50000,Sample4:7.50000):17.50000,Sample1:3.50000);	34
window1:107_91_13_78	(Sample2:2.50000,(Sample3:7.50000,Sample4:8.50000):10.50000,Sample1:7.50000);	30
window1:107_96_53_58	(Sample2:0.50000,(Sample3:9.50000,Sample4:4.50000):12.50000,Sample1:0.50000);	23
window1:107_91_16_23	(Sample2:2.00000,(Sample3:7.00000,Sample4:9.00000):15.00000,Sample1:8.00000);	34
window1:107_94_20_58	(Sample2:0.00000,(Sample3:14.00000,Sample4:9.00000):9.00000,Sample1:0.00000);	26
window1:107_93_44_25	(Sample2:0.00000,(Sample3:2.00000,Sample4:17.00000):20.00000,Sample1:0.00000);	34
window1:107_94_12_19	(Sample2:0.00000,(Sample3:9.00000,Sample4:1.00000):22.00000,Sample1:0.00000);	29
window1:107_92_60_77	(Sample2:0.00000,(Sample3:4.00000,Sample4:14.00000):17.00000,Sample1:0.00000);	30
window1:107_96_33_66	(Sample2:0.50000,(Sample3:22.50000,Sample4:6.50000):10.50000,Sample1:0.50000);	33
window1:107_97_54_45	(Sample2:2.00000,(Sample3:5.00000,Sample4:7.00000):18.00000,Sample1:2.00000);	30
window1:107_92_39_4	(Sample2:0.00000,(Sample3:4.00000,Sample4:10.00000):22.00000,Sample1:0.00000);	32
window1:107_94_22_17	(Sample2:0.00000,(Sample3:4.00000,Sample4:10.00000):18.00000,Sample1:0.00000);	28
window1:107_95_82_66	(Sample2:3.00000,(Sample3:10.00000,Sample4:7.00000):11.00000,Sample1:2.00000);	27
window1:107_98_20_66	(Sample2:3.50000,(Sample3:14.50000,Sample4:8.50000):7.50000,Sample1:1.50000);	28
window1:107_94_41_66	(Sample2:0.00000,(Sample3:20.00000,Sample4:5.00000):13.00000,Sample1:0.00000);	31
window1:107_93_20_42	(Sample2:0.00000,(Sample3:7.00000,Sample4:14.00000):16.00000,Sample1:0.00000);	31
window1:107_95_46_1	(Sample2:1.50000,(Sample3:3.50000,Sample4:15.50000):10.50000,Sample1:3.50000);	28
window1:107_91_18_63	(Sample2:2.00000,(Sample3:12.00000,Sample4:1.00000):9.00000,Sample1:8.00000);	26
window1:107_92_55_76	(Sample2:0.00000,(Sample3:13.00000,Sample4:6.00000):19.00000,Sample1:0.00000);	33
window1:107_97_12_47	(Sample2:2.50000,(Sample3:12.50000,Sample4:4.50000):15.50000,Sample1:1.50000);	31
window1:107_91_3_40	(Sample2:2.50000,(Sample3:9.50000,Sample4:5.50000):8.50000,Sample1:7.50000);	27
window1:107_97_18_71	(Sample2:2.00000,(Sample3:11.00000,Sample4:7.00000):15.00000,Sample1:2.00000);	31
window1:107_93_5_86	(Sample2:0.00000,(Sample3:21.00000,Sample4:6.00000):13.00000,Sample1:0.00000);	33
window1:107_98_54_72	(Sample2:1.00000,(Sample3:11.00000,Sample4:6.00000):8.00000,Sample1:4.00000);	24
window1:107_97_39_77	(Sample2:0.00000,(Sample3:5.00000,Sample4:10.00000):17.00000,Sample1:4.00000);	31
window1:107_93_44_85	(Sample2:0.00000,(Sample3:7.00000,Sample4:12.00000):15.00000,Sample1:0.00000);	29
window1:107_96_70_85	(Sample2:1.00000,(Sample3:9.00000,Sample4:12.00000):15.00000,Sample1:0.00000);	31
window1:107_97_80_57	(Sample2:4.00000,(Sample3:8.00000,Sample4:15.00000):9.00000,Sample1:0.00000);	29
window1:107_96_53_8	(Sample2:1.00000,(Sample3:4.00000,Sample4:6.00000):18.00000,Sample1:0.00000);	26
window1:107_94_41_71	(Sample2:0.00000,(Sample3:20.00000,Sample4:9.00000):13.00000,Sample1:0.00000);	34
window1:107_96_31_87	(Sample2:0.50000,(Sample3:8.50000,Sample4:21.50000):10.50000,Sample1:0.50000);	33
window1:107_96_70_76	(Sample2:0.50000,(Sample3:7.50000,Sample4:7.50000):16.50000,Sample1:0.50000);	28
window1:107_93_22_77	(Sample2:0.00000,(Sample3:2.00000,Sample4:11.00000):20.00000,Sample1:0.00000);	29
window1:107_95_53_62	(Sample2:1.50000,(Sample3:4.50000,Sample4:4.50000):14.50000,Sample1:3.50000);	25
window1:107_92_82_42	(Sample2:0.00000,(Sample3:5.00000,Sample4:10.00000):20.00000,Sample1:0.00000);	31
